model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_lvt_mac,0.0600,0.300,-0.200,8,0.5455,1.070709e+02,1.428290e+11,9.54
nch_lvt_mac,0.0600,0.300,-0.200,10,0.4957,6.857663e+01,1.230200e+11,11.35
nch_lvt_mac,0.0600,0.300,-0.200,12,0.4573,4.506090e+01,1.022169e+11,12.74
nch_lvt_mac,0.0600,0.300,-0.200,15,0.4143,2.527791e+01,7.659378e+10,14.43
nch_lvt_mac,0.0600,0.300,-0.200,18,0.3809,1.461088e+01,5.654775e+10,15.88
nch_lvt_mac,0.0600,0.300,-0.200,20,0.3611,1.003142e+01,4.504719e+10,16.72
nch_lvt_mac,0.0600,0.300,-0.200,25,0.3099,3.156762e+00,2.034421e+10,18.36
nch_lvt_mac,0.0600,0.400,0.000,5,0.6428,2.345942e+02,1.823185e+11,9.69
nch_lvt_mac,0.0600,0.400,0.000,8,0.5278,1.129606e+02,1.600188e+11,13.84
nch_lvt_mac,0.0600,0.400,0.000,10,0.4775,7.204945e+01,1.336047e+11,15.47
nch_lvt_mac,0.0600,0.400,0.000,12,0.4395,4.747961e+01,1.101108e+11,16.74
nch_lvt_mac,0.0600,0.400,0.000,15,0.3970,2.686633e+01,8.256190e+10,18.39
nch_lvt_mac,0.0600,0.400,0.000,18,0.3639,1.558303e+01,6.094855e+10,19.83
nch_lvt_mac,0.0600,0.400,0.000,20,0.3438,1.065030e+01,4.829464e+10,20.65
nch_lvt_mac,0.0600,0.400,0.000,25,0.2914,3.260924e+00,2.117252e+10,22.19
nch_lvt_mac,0.0600,0.400,-0.200,5,0.6582,2.340882e+02,1.821496e+11,9.40
nch_lvt_mac,0.0600,0.400,-0.200,8,0.5429,1.125043e+02,1.586730e+11,13.26
nch_lvt_mac,0.0600,0.400,-0.200,10,0.4922,7.153420e+01,1.320378e+11,14.75
nch_lvt_mac,0.0600,0.400,-0.200,12,0.4538,4.694897e+01,1.084366e+11,15.92
nch_lvt_mac,0.0600,0.400,-0.200,15,0.4109,2.642104e+01,8.102426e+10,17.45
nch_lvt_mac,0.0600,0.400,-0.200,18,0.3777,1.531038e+01,5.983847e+10,18.79
nch_lvt_mac,0.0600,0.400,-0.200,20,0.3579,1.051242e+01,4.765275e+10,19.58
nch_lvt_mac,0.0600,0.400,-0.200,25,0.3063,3.282419e+00,2.136574e+10,21.03
