model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_18_mac,0.1800,1.000,-0.300,5,0.8452,7.985258e+01,4.578491e+10,24.06
nch_18_mac,0.1800,1.000,-0.300,8,0.7157,3.521346e+01,3.485757e+10,29.03
nch_18_mac,0.1800,1.000,-0.300,10,0.6636,2.211630e+01,2.903823e+10,31.14
nch_18_mac,0.1800,1.000,-0.300,12,0.6245,1.442401e+01,2.419805e+10,32.79
nch_18_mac,0.1800,1.000,-0.300,15,0.5785,7.769620e+00,1.802474e+10,34.65
nch_18_mac,0.1800,1.000,-0.300,18,0.5385,4.019569e+00,1.252358e+10,35.83
nch_18_mac,0.1800,1.000,-0.300,20,0.5115,2.406581e+00,9.103100e+09,36.28
nch_18_mac,0.1800,1.000,-0.300,25,0.4229,3.226192e-01,1.996356e+09,36.67
nch_18_mac,0.1800,1.200,0.000,5,0.8117,8.161313e+01,4.716363e+10,27.95
nch_18_mac,0.1800,1.200,0.000,8,0.6823,3.602201e+01,3.592787e+10,32.96
nch_18_mac,0.1800,1.200,0.000,10,0.6306,2.269426e+01,3.001850e+10,35.12
nch_18_mac,0.1800,1.200,0.000,12,0.5919,1.485285e+01,2.506419e+10,36.81
nch_18_mac,0.1800,1.200,0.000,15,0.5458,8.009229e+00,1.861832e+10,38.66
nch_18_mac,0.1800,1.200,0.000,18,0.5051,4.096764e+00,1.276651e+10,39.76
nch_18_mac,0.1800,1.200,0.000,20,0.4772,2.410618e+00,9.120497e+09,40.13
nch_18_mac,0.1800,1.200,0.000,25,0.3829,2.827994e-01,1.733544e+09,40.35
nch_18_mac,0.1800,1.200,-0.300,5,0.8408,8.120217e+01,4.687908e+10,27.40
nch_18_mac,0.1800,1.200,-0.300,8,0.7111,3.576849e+01,3.568610e+10,32.17
nch_18_mac,0.1800,1.200,-0.300,10,0.6591,2.247524e+01,2.977750e+10,34.19
nch_18_mac,0.1800,1.200,-0.300,12,0.6201,1.465572e+01,2.485398e+10,35.80
nch_18_mac,0.1800,1.200,-0.300,15,0.5741,7.912328e+00,1.853395e+10,37.59
nch_18_mac,0.1800,1.200,-0.300,18,0.5339,4.077267e+00,1.284946e+10,38.72
nch_18_mac,0.1800,1.200,-0.300,20,0.5066,2.430865e+00,9.315744e+09,39.13
nch_18_mac,0.1800,1.200,-0.300,25,0.4175,3.212467e-01,2.007720e+09,39.44
nch_18_mac,0.1800,1.400,0.000,5,0.8075,8.270628e+01,4.799518e+10,30.86
nch_18_mac,0.1800,1.400,0.000,8,0.6781,3.649601e+01,3.659791e+10,35.69
nch_18_mac,0.1800,1.400,0.000,10,0.6266,2.303914e+01,3.064033e+10,37.78
nch_18_mac,0.1800,1.400,0.000,12,0.5879,1.507500e+01,2.561972e+10,39.44
nch_18_mac,0.1800,1.400,0.000,15,0.5417,8.110871e+00,1.903473e+10,41.26
nch_18_mac,0.1800,1.400,0.000,18,0.5008,4.127173e+00,1.301903e+10,42.32
nch_18_mac,0.1800,1.400,0.000,20,0.4727,2.425085e+00,9.280007e+09,42.68
nch_18_mac,0.1800,1.400,0.000,25,0.3778,2.802035e-01,1.729702e+09,42.85
nch_18_mac,0.1800,1.400,-0.300,5,0.8365,8.230308e+01,4.771683e+10,30.20
nch_18_mac,0.1800,1.400,-0.300,8,0.7068,3.625304e+01,3.635838e+10,34.76
nch_18_mac,0.1800,1.400,-0.300,10,0.6550,2.281530e+01,3.040238e+10,36.72
nch_18_mac,0.1800,1.400,-0.300,12,0.6160,1.490213e+01,2.542399e+10,38.29
nch_18_mac,0.1800,1.400,-0.300,15,0.5699,8.007310e+00,1.896639e+10,40.07
nch_18_mac,0.1800,1.400,-0.300,18,0.5295,4.112042e+00,1.312489e+10,41.16
nch_18_mac,0.1800,1.400,-0.300,20,0.5021,2.447511e+00,9.495486e+09,41.56
